Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_thompson
0,9,6,96,1,1.1169455159085762,-2.54109808847714,3.333333333333334,1.4285714285714286,0.6184951782046355,3.159593266681776,2.182178902359924,0.6305132490161602,0.12211529158865753
0,9,7,97,1,3.394396568157665,-2.2857671196304903,3.333333333333334,1.25,0.6184951782046355,2.904262297835126,2.1408720964441885,0.7077078696006589,0.14283235727477728
0,9,8,98,1,-0.01117998243358001,-2.340226482999661,3.333333333333334,1.1111111111111112,0.6184951782046355,2.958721661204297,2.1081851067789197,0.771649304961094,0.13348510198845237
0,9,9,99,1,7.16128374422351,-2.0432363186358735,3.333333333333334,1.0,0.6184951782046355,2.6617314968405092,2.081665999466133,0.8257418583505538,0.16316351127383022
0,10,0,100,1,-18.506617361888367,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,10,1,101,0,-6.514334460230926,6.168872453962789,5.0,3.333333333333334,0.0,-6.168872453962789,2.886751345948129,0.410326119149236,0.983699381610182
0,10,2,102,0,-11.414194788140968,3.9974276338858132,3.333333333333334,3.333333333333334,-2.1714448200769754,-6.168872453962789,2.5819888974716116,0.0,0.93921257112444
0,10,3,103,0,-7.987381427284437,1.686740141869815,2.5000000000000004,3.333333333333334,-4.482132312092974,-6.168872453962789,2.41522945769824,-0.24460302826636404,0.757529199250107
0,10,4,104,1,-12.02710591939816,0.985690318831522,2.0,3.333333333333334,-5.183182135131267,-6.168872453962789,2.3094010767585034,-0.41152829597745866,0.6652434800831144
0,10,5,105,0,-2.6724263974884264,2.450248685190365,2.0,2.5000000000000004,-5.183182135131267,-7.633430820321632,2.1213203435596424,-0.16692526771109462,0.8759667249496278
0,10,6,106,0,-2.749956196150835,2.8687079747975055,1.6666666666666667,2.5000000000000004,-4.764722845524126,-7.633430820321632,2.041241452319315,-0.29014438134838416,0.9200449755817581
0,10,7,107,0,-3.019853623300041,3.156531781850833,1.4285714285714286,2.5000000000000004,-4.4768990384707985,-7.633430820321632,1.9820624179302297,-0.3859102207497962,0.9443693135503135
0,10,8,108,0,-6.872249152759785,3.3386624587471783,1.25,2.5000000000000004,-4.294768361574453,-7.633430820321632,1.9364916731037085,-0.46310484133429486,0.957653107653004
0,10,9,109,0,-1.5854219343042109,3.0522757041710307,1.1111111111111112,2.5000000000000004,-4.581155116150601,-7.633430820321632,1.90029237516523,-0.5270462766947299,0.9458865211901012
0,11,0,110,0,3.3209716699016556,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,11,1,111,0,0.9334691249153052,1.1069905566338851,3.333333333333334,5.0,1.1069905566338851,0.0,2.886751345948129,-0.410326119149236,0.649315374582839
0,11,2,112,0,-2.990290152529484,1.0636101987042401,2.5000000000000004,5.0,1.0636101987042401,0.0,2.7386127875258306,-0.6549291474156,0.6511309257672584
0,11,3,113,1,-4.656760555848481,0.2528301284574951,2.0,5.0,0.2528301284574951,0.0,2.6457513110645907,-0.8218544151266947,0.538065302620043
0,11,4,114,0,1.5361127244264021,1.8050836470736553,2.0,3.333333333333334,0.2528301284574951,-1.5522535186161603,2.3094010767585034,-0.41152829597745866,0.7827822542405367
0,11,5,115,0,1.303967503889894,2.01896407973514,1.6666666666666667,3.333333333333334,0.46671056111897957,-1.5522535186161603,2.23606797749979,-0.5347474096147482,0.8167126869633115
0,11,6,116,0,2.5992155132804764,2.138572214416699,1.4285714285714286,3.333333333333334,0.5863186958005387,-1.5522535186161603,2.182178902359924,-0.6305132490161602,0.8364611129939898
0,11,7,117,0,-1.0865235549996333,2.390184316601691,1.25,3.333333333333334,0.8379307979855309,-1.5522535186161603,2.1408720964441885,-0.7077078696006589,0.8678859852111025
0,11,8,118,0,3.922946748451319,2.1763560551588954,1.1111111111111112,3.333333333333334,0.624102536542735,-1.5522535186161603,2.1081851067789197,-0.771649304961094,0.8490427039227599
0,11,9,119,0,-1.4629251593617267,2.506240476349754,1.0,3.333333333333334,0.9539869577335934,-1.5522535186161603,2.081665999466133,-0.8257418583505538,0.8856972834980688
0,12,0,120,0,-8.716485040366273,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,12,1,121,1,25.806242815350085,-2.905495013455424,3.333333333333334,5.0,-2.905495013455424,0.0,2.886751345948129,-0.410326119149236,0.1570892393571655
0,12,2,122,1,23.557588981983415,-11.507575951905451,3.333333333333334,3.333333333333334,-2.905495013455424,8.602080938450028,2.5819888974716116,0.0,4.158346966913716e-06
0,12,3,123,1,29.742759822159552,-15.2464529627888,3.333333333333334,2.5000000000000004,-2.905495013455424,12.340957949333376,2.41522945769824,0.24460302826636404,1.3716530843481122e-10
0,12,4,124,1,26.739329168839667,-18.726813337354038,3.333333333333334,2.0,-2.905495013455424,15.821318323898613,2.3094010767585034,0.41152829597745866,2.5529936642638234e-16
0,12,5,125,1,28.55225574656065,-20.54648181151088,3.333333333333334,1.6666666666666667,-2.905495013455424,17.640986798055454,2.23606797749979,0.5347474096147482,1.9887154711862057e-20
0,12,6,126,1,23.73736597952973,-22.105234518440195,3.333333333333334,1.4285714285714286,-2.905495013455424,19.19973950498477,2.182178902359924,0.6305132490161602,2.0355140772461117e-24
0,12,7,127,1,29.27428824186155,-22.672437827758316,3.333333333333334,1.25,-2.905495013455424,19.76694281430289,2.1408720964441885,0.7077078696006589,1.6529835701670542e-26
0,12,8,128,1,26.3144418391944,-23.7288095419315,3.333333333333334,1.1111111111111112,-2.905495013455424,20.823314528476075,2.1081851067789197,0.771649304961094,1.0871700505270013e-29
0,12,9,129,1,28.981863910884016,-24.277922273003334,3.333333333333334,1.0,-2.905495013455424,21.37242725954791,2.081665999466133,0.8257418583505538,9.879397057835007e-32
0,13,0,130,1,0.5257098325046471,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,13,1,131,1,2.601576272483651,-0.17523661083488234,5.0,3.333333333333334,0.0,0.17523661083488234,2.886751345948129,0.410326119149236,0.4757975754833606
0,13,2,132,1,-2.8628209399343505,-0.7818215262470747,5.0,2.5000000000000004,0.0,0.7818215262470747,2.7386127875258306,0.6549291474156,0.3876378840913015
