Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,RNN_Action,RNN_Reward,RNN_Prob_Action0,Kalman_V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,Kalman_RU,Kalman_TU
33,14,1,6066,-19.318633573510468,8.252975885538923,1,10.020619678572528,0.14740273,-3.3402065595241757,0.0,3.3402065595241757,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
33,14,2,6067,-19.318633573510468,8.252975885538923,1,6.288089344733567,0.09075555,-4.077177255826523,0.0,4.077177255826523,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
33,14,3,6068,-19.318633573510468,8.252975885538923,1,5.101581324689908,0.16286433,-4.2820580695992,0.0,4.2820580695992,5.0,2.0,0.0,0.20000000000000004,0.8218544151266947,2.6457513110645907
33,14,4,6069,-19.318633573510468,8.252975885538923,0,-19.73920497270776,0.82421094,-10.861793060501787,-6.579734990902587,4.2820580695992,3.333333333333334,2.0,0.3333333333333333,0.0,0.41152829597745866,2.3094010767585034
33,14,5,6070,-19.318633573510468,8.252975885538923,1,10.174891534523027,0.37854642,-11.843931971322425,-6.579734990902587,5.264196980419838,3.333333333333334,1.6666666666666667,0.0,0.16666666666666666,0.5347474096147482,2.23606797749979
33,14,6,6071,-19.318633573510468,8.252975885538923,1,4.348532897942599,8.34719e-08,-11.71312281668282,-6.579734990902587,5.133387825780233,3.333333333333334,1.4285714285714286,0.0,0.14285714285714288,0.6305132490161602,2.182178902359924
33,14,7,6072,-19.318633573510468,8.252975885538923,1,11.412181584239335,2.0623687e-09,-12.497972036490207,-6.579734990902587,5.91823704558762,3.333333333333334,1.25,0.0,0.125,0.7077078696006589,2.1408720964441885
33,14,8,6073,-19.318633573510468,8.252975885538923,1,8.791268030071446,0.00036796663,-12.817197701432853,-6.579734990902587,6.237462710530267,3.333333333333334,1.1111111111111112,0.0,0.1111111111111111,0.771649304961094,2.1081851067789197
33,14,9,6074,-19.318633573510468,8.252975885538923,1,3.3256150015658914,0.010976538,-12.526012930536417,-6.579734990902587,5.94627793963383,3.333333333333334,1.0,0.0,0.1,0.8257418583505538,2.081665999466133
33,15,1,6075,-1.3720797539170957,-29.119134982434932,1,-31.74094299888218,0.14740273,10.580314332960725,0.0,-10.580314332960725,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
33,15,2,6076,-1.3720797539170957,-29.119134982434932,0,-4.671895934802759,0.9999901,9.023015688026472,-1.557298644934253,-10.580314332960725,3.333333333333334,3.333333333333334,0.3333333333333333,0.0,0.0,2.5819888974716116
33,15,3,6077,-1.3720797539170957,-29.119134982434932,0,-3.4052614219352777,0.9999993,8.561024993776215,-2.0192893391845095,-10.580314332960725,2.5000000000000004,3.333333333333334,0.25000000000000006,0.0,-0.24460302826636404,2.41522945769824
33,15,4,6078,-1.3720797539170957,-29.119134982434932,0,2.310414735034039,0.99991846,9.426965808619926,-1.1533485243407995,-10.580314332960725,2.0,3.333333333333334,0.20000000000000004,0.0,-0.41152829597745866,2.3094010767585034
33,15,5,6079,-1.3720797539170957,-29.119134982434932,0,0.5827220073117327,0.9975479,9.71631089722868,-0.8640034357320441,-10.580314332960725,1.6666666666666667,3.333333333333334,0.16666666666666666,0.0,-0.5347474096147482,2.23606797749979
33,15,6,6080,-1.3720797539170957,-29.119134982434932,0,1.2803255278157886,0.72299355,10.022643606306943,-0.5576707266537823,-10.580314332960725,1.4285714285714286,3.333333333333334,0.14285714285714288,0.0,-0.6305132490161602,2.182178902359924
33,15,7,6081,-1.3720797539170957,-29.119134982434932,0,-1.8521203761001874,0.99875474,9.860837400126142,-0.7194769328345829,-10.580314332960725,1.25,3.333333333333334,0.125,0.0,-0.7077078696006589,2.1408720964441885
33,15,8,6082,-1.3720797539170957,-29.119134982434932,0,0.9701998758770664,1.0,10.04857926776077,-0.5317350651999553,-10.580314332960725,1.1111111111111112,3.333333333333334,0.1111111111111111,0.0,-0.771649304961094,2.1081851067789197
